xi,theta,dtheta_dxi,rho_over_rhoc,dimensionless_mass
4.935984223987193165e-01,9.614938406198917376e-01,-1.479906874038213194e-01,8.380294466355521221e-01,3.605636266861709377e-02
5.015595259857953403e-01,9.603081448951200638e-01,-1.498780001697343212e-01,8.333889842570945117e-01,3.770360319987398762e-02
5.095206295728714752e-01,9.591075081880653386e-01,-1.517441597796468922e-01,8.287104371524848245e-01,3.939449433294647807e-02
5.174817331599476100e-01,9.578920994389085175e-01,-1.535890320968988365e-01,8.239951599869184129e-01,4.112919899644628535e-02
5.254428367470237449e-01,9.566620886269101565e-01,-1.554124902471988867e-01,8.192445044761015316e-01,4.290786158116426802e-02
5.334039403340998797e-01,9.554176467141165530e-01,-1.572144145901703538e-01,8.144598186898492909e-01,4.473060806803913492e-02
5.413650439211759036e-01,9.541589455883009441e-01,-1.589946926835875962e-01,8.096424463659510629e-01,4.659754616633166729e-02
5.493261475082520384e-01,9.528861580000972387e-01,-1.607532192237389745e-01,8.047937262155772098e-01,4.850876545648613591e-02
5.572872510953281733e-01,9.515994575112364240e-01,-1.624898960168148776e-01,7.999149912852453470e-01,5.046433755316095254e-02
5.652483546824043081e-01,9.502990184370886384e-01,-1.642046319271827093e-01,7.950075683110312541e-01,5.246431627291362615e-02
5.732094582694804430e-01,9.489850157907709916e-01,-1.658973428255603455e-01,7.900727770932179927e-01,5.450873781255805017e-02
5.811705618565565779e-01,9.476576252276556200e-01,-1.675679515337345216e-01,7.851119298871049867e-01,5.659762093691724644e-02
5.891316654436326017e-01,9.463170229901594066e-01,-1.692163877654317972e-01,7.801263308097287075e-01,5.873096717547218737e-02
5.970927690307087365e-01,9.449633858529389308e-01,-1.708425880637108873e-01,7.751172752631372287e-01,6.090876102763668337e-02
6.050538726177848714e-01,9.435968910686111100e-01,-1.724464957352444539e-01,7.700860493748125091e-01,6.313097017640247055e-02
