xi,theta,dtheta_dxi,rho_over_rhoc,dimensionless_mass
8.702273368342084980e-01,8.935584052718267278e-01,-2.069570857416148657e-01,5.696586834944854516e-01,1.567276940993116430e-01
8.802298349587396320e-01,8.914836688623851702e-01,-2.078810994710881543e-01,5.630759245519650902e-01,1.610672242968430035e-01
8.902323330832707660e-01,8.893998534309719428e-01,-2.087724893406328885e-01,5.565257552833938748e-01,1.654550385419229774e-01
9.002348312078018999e-01,8.873072837047870642e-01,-2.096315750003999168e-01,5.500095530818475131e-01,1.698901977753144443e-01
9.102373293323330339e-01,8.852062811793188768e-01,-2.104586829083600064e-01,5.435286416501245998e-01,1.743717525645737954e-01
9.202398274568641678e-01,8.830971640523904709e-01,-2.112541459447750958e-01,5.370842915226037295e-01,1.788987440404225804e-01
9.302423255813953018e-01,8.809802471618283226e-01,-2.120183030317981387e-01,5.306777206299864158e-01,1.834702048151751752e-01
9.402448237059264358e-01,8.788558419264111965e-01,-2.127514987575923333e-01,5.243100949035328640e-01,1.880851598817359638e-01
9.502473218304575697e-01,8.767242562914839832e-01,-2.134540830093562824e-01,5.179825289206064776e-01,1.927426274961263342e-01
9.602498199549885927e-01,8.745857946776568470e-01,-2.141264106113439369e-01,5.116960865843824813e-01,1.974416200395467114e-01
9.702523180795197266e-01,8.724407579332114082e-01,-2.147688409699057277e-01,5.054517818373500671e-01,2.021811448610152939e-01
9.802548162040508606e-01,8.702894432900093458e-01,-2.153817377253202658e-01,4.992505794057659485e-01,2.069602050997982612e-01
9.902573143285819945e-01,8.681321443228426915e-01,-2.159654684106570022e-01,4.930933955727070939e-01,2.117778004873138720e-01
1.000259812453113240e+00,8.659691509121637543e-01,-2.165204041179159544e-01,4.869810989774262522e-01,2.166329281282727282e-01
1.010262310577644485e+00,8.638007492101327234e-01,-2.170469191716888901e-01,4.809145114387718967e-01,2.215245832608949417e-01
1.020264808702175507e+00,8.616272216099243320e-01,-2.175453908105881851e-01,4.748944088005013775e-01,2.264517599961263228e-01
1.030267306826706752e+00,8.594488467181453650e-01,-2.180161988759798664e-01,4.689215217961341664e-01,2.314134520351072977e-01
1.040269804951237775e+00,8.572658993302272323e-01,-2.184597255076194677e-01,4.629965369311064283e-01,2.364086533641769905e-01
1.050272303075769020e+00,8.550786504090198692e-01,-2.188763548485530008e-01,4.571200973810353729e-01,2.414363589297254531e-01
1.060274801200300043e+00,8.528873670661640816e-01,-2.192664727570350636e-01,4.512928039031858241e-01,2.464955652904519678e-01
1.070277299324831288e+00,8.506923125463339286e-01,-2.196304665265204070e-01,4.455152157597213058e-01,2.515852712480510234e-01
